sample	20x	30x
AFS-0274.dedup.realign.base.txt.gz	81.28126636106021562754	70.54585147739090230625
AFS-0275.dedup.realign.base.txt.gz	80.85210998836358915585	70.19282907490412987487
AFS-0321.dedup.realign.base.txt.gz	82.64572150297425501481	73.06957146615796864619
AFS-0362.dedup.realign.base.txt.gz	81.60573610868725033842	72.11836232718230621276
AFS-0373.dedup.realign.base.txt.gz	83.38802932320769354482	74.62504446503797718928
AFS-0376.dedup.realign.base.txt.gz	78.23776467519402138622	67.28291135606265541623
AFS-0378.dedup.realign.base.txt.gz	81.06564364395788084763	72.59649648117158821585
AFS-0399.dedup.realign.base.txt.gz	79.28843375875076376781	70.38060139683640063238
AFS-0409.dedup.realign.base.txt.gz	84.47206540614810640748	76.53418253066205129572
AFS-0419.dedup.realign.base.txt.gz	88.24491371104864686557	83.50551285936549065281
AFS-0431.dedup.realign.base.txt.gz	69.08972084291457421600	55.72692696394532715033
